county_fips,state_fips,county_name,hs_median_earnings,margin_of_error
01001,01,"Autauga County, Alabama",37057,2387
01003,01,"Baldwin County, Alabama",39002,3092
01005,01,"Barbour County, Alabama",31638,1712
01007,01,"Bibb County, Alabama",31422,2358
01009,01,"Blount County, Alabama",36119,2239
01011,01,"Bullock County, Alabama",32914,2670
01013,01,"Butler County, Alabama",33510,3164
01015,01,"Calhoun County, Alabama",33000,3418
01017,01,"Chambers County, Alabama",34901,5374
01019,01,"Cherokee County, Alabama",35476,1972
01021,01,"Chilton County, Alabama",41250,3076
01023,01,"Choctaw County, Alabama",43561,4488
01025,01,"Clarke County, Alabama",35245,3877
01027,01,"Clay County, Alabama",31480,6200
01029,01,"Cleburne County, Alabama",44713,5929
01031,01,"Coffee County, Alabama",30609,2821
01033,01,"Colbert County, Alabama",37493,3484
01035,01,"Conecuh County, Alabama",38964,2777
01037,01,"Coosa County, Alabama",29905,3746
01039,01,"Covington County, Alabama",33113,2593
01041,01,"Crenshaw County, Alabama",39504,3975
01043,01,"Cullman County, Alabama",36420,2062
01045,01,"Dale County, Alabama",32439,3366
01047,01,"Dallas County, Alabama",31962,3256
01049,01,"DeKalb County, Alabama",33585,2885
01051,01,"Elmore County, Alabama",38385,4440
01053,01,"Escambia County, Alabama",31857,2358
01055,01,"Etowah County, Alabama",32948,1715
01057,01,"Fayette County, Alabama",37578,4296
01059,01,"Franklin County, Alabama",30778,2123
01061,01,"Geneva County, Alabama",29848,2920
01063,01,"Greene County, Alabama",26333,2679
01065,01,"Hale County, Alabama",34107,13451
01067,01,"Henry County, Alabama",27699,4451
01069,01,"Houston County, Alabama",35243,1235
01071,01,"Jackson County, Alabama",33416,2290
01073,01,"Jefferson County, Alabama",35732,811
01075,01,"Lamar County, Alabama",33866,4134
01077,01,"Lauderdale County, Alabama",36393,2612
01079,01,"Lawrence County, Alabama",38934,4999
01081,01,"Lee County, Alabama",36450,2122
01083,01,"Limestone County, Alabama",41021,2627
01085,01,"Lowndes County, Alabama",37431,5860
01087,01,"Macon County, Alabama",30567,3879
01089,01,"Madison County, Alabama",37295,1888
01091,01,"Marengo County, Alabama",40031,8002
01093,01,"Marion County, Alabama",33328,5191
01095,01,"Marshall County, Alabama",35348,2096
01097,01,"Mobile County, Alabama",37258,1333
01099,01,"Monroe County, Alabama",35029,5460
01101,01,"Montgomery County, Alabama",33996,2645
01103,01,"Morgan County, Alabama",38084,2701
01105,01,"Perry County, Alabama",23924,5122
01107,01,"Pickens County, Alabama",39201,5922
01109,01,"Pike County, Alabama",33555,2400
01111,01,"Randolph County, Alabama",38360,4927
01113,01,"Russell County, Alabama",32033,3183
01115,01,"St. Clair County, Alabama",43307,2599
01117,01,"Shelby County, Alabama",44019,2059
01119,01,"Sumter County, Alabama",30775,10411
01121,01,"Talladega County, Alabama",37457,3209
01123,01,"Tallapoosa County, Alabama",36245,4254
01125,01,"Tuscaloosa County, Alabama",37199,1853
01127,01,"Walker County, Alabama",37978,2336
01129,01,"Washington County, Alabama",44620,9690
01131,01,"Wilcox County, Alabama",36504,3058
01133,01,"Winston County, Alabama",37525,4812
02013,02,"Aleutians East Borough, Alaska",39231,11933
02016,02,"Aleutians West Census Area, Alaska",46493,12814
02020,02,"Anchorage Municipality, Alaska",41438,1760
02050,02,"Bethel Census Area, Alaska",30395,9680
02063,02,"Chugach Census Area, Alaska",43966,15808
02066,02,"Copper River Census Area, Alaska",36125,19478
02070,02,"Dillingham Census Area, Alaska",28620,9255
02090,02,"Fairbanks North Star Borough, Alaska",48521,5238
02100,02,"Haines Borough, Alaska",34286,19959
02105,02,"Hoonah-Angoon Census Area, Alaska",33417,7517
02110,02,"Juneau City and Borough, Alaska",37951,5325
02122,02,"Kenai Peninsula Borough, Alaska",43398,2755
02130,02,"Ketchikan Gateway Borough, Alaska",45374,3960
02150,02,"Kodiak Island Borough, Alaska",34309,6400
02158,02,"Kusilvak Census Area, Alaska",26667,4768
02164,02,"Lake and Peninsula Borough, Alaska",48333,42804
02170,02,"Matanuska-Susitna Borough, Alaska",46009,1845
02180,02,"Nome Census Area, Alaska",34244,7814
02185,02,"North Slope Borough, Alaska",88493,19754
02188,02,"Northwest Arctic Borough, Alaska",37361,6712
02195,02,"Petersburg Borough, Alaska",37059,7441
02198,02,"Prince of Wales-Hyder Census Area, Alaska",35221,4254
02220,02,"Sitka City and Borough, Alaska",41250,4043
02230,02,"Skagway Municipality, Alaska",41086,25634
02240,02,"Southeast Fairbanks Census Area, Alaska",59050,23454
02275,02,"Wrangell City and Borough, Alaska",47125,10187
02282,02,"Yakutat City and Borough, Alaska",47083,45715
02290,02,"Yukon-Koyukuk Census Area, Alaska",32065,14034
04001,04,"Apache County, Arizona",33757,1410
04003,04,"Cochise County, Arizona",30979,1865
04005,04,"Coconino County, Arizona",38426,3440
04007,04,"Gila County, Arizona",37800,3482
04009,04,"Graham County, Arizona",32655,2212
04011,04,"Greenlee County, Arizona",43657,8751
04012,04,"La Paz County, Arizona",40888,5524
04013,04,"Maricopa County, Arizona",40825,391
04015,04,"Mohave County, Arizona",33814,1893
04017,04,"Navajo County, Arizona",33314,2178
04019,04,"Pima County, Arizona",35543,575
04021,04,"Pinal County, Arizona",41430,905
04023,04,"Santa Cruz County, Arizona",35618,3878
04025,04,"Yavapai County, Arizona",36827,1642
04027,04,"Yuma County, Arizona",35235,1830
05001,05,"Arkansas County, Arkansas",41786,6799
05003,05,"Ashley County, Arkansas",38002,5063
05005,05,"Baxter County, Arkansas",28941,1916
05007,05,"Benton County, Arkansas",41014,1002
05009,05,"Boone County, Arkansas",36070,2734
05011,05,"Bradley County, Arkansas",34511,3976
05013,05,"Calhoun County, Arkansas",32782,4747
05015,05,"Carroll County, Arkansas",34598,3904
05017,05,"Chicot County, Arkansas",30542,4736
05019,05,"Clark County, Arkansas",33545,3157
05021,05,"Clay County, Arkansas",34646,3088
05023,05,"Cleburne County, Arkansas",34231,3468
05025,05,"Cleveland County, Arkansas",39479,3912
05027,05,"Columbia County, Arkansas",29047,3628
05029,05,"Conway County, Arkansas",32800,6284
05031,05,"Craighead County, Arkansas",31257,1724
05033,05,"Crawford County, Arkansas",37453,2137
05035,05,"Crittenden County, Arkansas",35581,2066
05037,05,"Cross County, Arkansas",33544,3998
05039,05,"Dallas County, Arkansas",34142,2903
05041,05,"Desha County, Arkansas",31676,5413
05043,05,"Drew County, Arkansas",29337,3657
05045,05,"Faulkner County, Arkansas",38104,2917
05047,05,"Franklin County, Arkansas",34962,2895
05049,05,"Fulton County, Arkansas",27762,4080
05051,05,"Garland County, Arkansas",29253,2134
05053,05,"Grant County, Arkansas",41480,3093
05055,05,"Greene County, Arkansas",34172,2451
05057,05,"Hempstead County, Arkansas",36593,2084
05059,05,"Hot Spring County, Arkansas",36743,3751
05061,05,"Howard County, Arkansas",30972,2437
05063,05,"Independence County, Arkansas",32691,2949
05065,05,"Izard County, Arkansas",33177,4805
05067,05,"Jackson County, Arkansas",30844,6977
05069,05,"Jefferson County, Arkansas",32797,3524
05071,05,"Johnson County, Arkansas",31016,2355
05073,05,"Lafayette County, Arkansas",32861,4086
05075,05,"Lawrence County, Arkansas",35927,4563
05077,05,"Lee County, Arkansas",37146,1566
05079,05,"Lincoln County, Arkansas",31189,3482
05081,05,"Little River County, Arkansas",35406,6573
05083,05,"Logan County, Arkansas",33358,1713
05085,05,"Lonoke County, Arkansas",40181,2841
05087,05,"Madison County, Arkansas",35444,2482
