State,Threshold
Alabama,27836
Alaska,35457
Arizona,32284
Arkansas,28502
California,32476
Colorado,35571
Connecticut,33286
Delaware,31316
District of Columbia,32592
Florida,29609
Georgia,29609
Hawaii,34203
Idaho,33397
Illinois,30793
Indiana,31316
Iowa,34203
Kansas,30782
Kentucky,28996
Louisiana,28996
Maine,32311
Maryland,33397
Massachusetts,35438
Michigan,28996
Minnesota,34795
Mississippi,27362
Missouri,30156
Montana,30058
Nebraska,31316
Nevada,33172
New Hampshire,37850
New Jersey,32832
New Mexico,27836
New York,30793
North Carolina,29344
North Dakota,34203
Ohio,30793
Oklahoma,29810
Oregon,31695
Pennsylvania,31727
Rhode Island,34203
South Carolina,30156
South Dakota,31385
Tennessee,29609
Texas,31171
Utah,34795
Vermont,33397
Virginia,33043
Washington,35027
West Virginia,28996
Wisconsin,33397
Wyoming,36480
United States (National),31269
